event_id,event_cause,site_weight,officers_allocated,barricades_allocated,tow_trucks_allocated,qru_allocated,diversion_activated,effectiveness,expected_delay_reduction_min,cvar_contribution,total_cvar,var_level,chance_constraint_satisfaction,service_tier,robustness_score,is_critical,used_fallback,solver_status,safe_duration_p50,safe_duration_p80,safe_duration_p95,duration_reliability,tail_risk_prob,duration_sanity_flag
FKID004401,road_conditions,0.8332784364220864,0,4,0,0,1,0.4000000000000003,38750.02026877047,58125.03040315564,6929193.924808556,4055272.1083304705,1.0,critical,0.0,1,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),108963.14700558288,117572.78160488002,152834.46296882667,0.4902531930496151,1.0,0
FKID000002,others,0.8394095044717644,1,3,0,0,1,0.44082324941940787,29826.891854428446,37834.90205891972,6929193.924808556,4055272.1083304705,0.94,critical,0.0,1,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),51776.46085897002,56237.852777611326,95330.05303972177,0.2653355958091057,1.0,0
FKID004492,pot_holes,0.8472720634264459,0,4,0,0,1,0.4000000000000003,32983.04945209573,49474.57417814353,6929193.924808556,4055272.1083304705,1.0,critical,0.0,1,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),77444.52082785447,109896.191663806,157053.3588888519,0.2622460253795743,1.0,0
FKID001592,pot_holes,0.8653157888154451,1,3,0,0,1,0.44082324941940787,56163.05354867104,71241.87262670955,6929193.924808556,4055272.1083304705,1.0,critical,0.0,1,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),139063.0664828535,154508.84233138,175025.65599472413,0.3010238103000637,1.0,0
FKID004531,construction,0.8348581067422761,0,4,0,0,1,0.4,17803.105406893334,26704.658110339988,6929193.924808556,4055272.1083304705,0.98,critical,0.0,1,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),40278.12680520333,63829.58382194657,77456.8027075483,0.5407883238853544,1.0,0
FKID005996,tree_fall,0.8849988776420545,0,4,0,0,1,0.4,16552.893453326233,24829.340179989344,6929193.924808556,4055272.1083304705,1.0,critical,0.0,1,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),45260.933279293335,50578.39314217833,51391.42795926152,0.4188443483262486,1.0,0
FKID006015,pot_holes,0.8880076436753829,6,0,0,1,1,0.7719147464737037,92896.53241916784,27449.05346779964,6929193.924808556,4055272.1083304705,0.98,critical,1.0,1,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),75239.0560977501,146218.58393094112,164723.00423827942,0.3022843920176766,0.8421052631578947,0
FKID003897,debris,0.8882748087242428,4,0,0,0,1,0.5291143153005538,38730.48604670026,34468.2253219387,6929193.924808556,4055272.1083304705,0.92,critical,1.0,1,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),38015.76058256,100588.43490669227,114244.41268999912,0.3918286586460587,1.0,0
FKID004806,others,0.8379924608952438,4,0,0,0,1,0.5291143153005538,43785.75968339855,38967.169914672995,6929193.924808556,4055272.1083304705,0.96,critical,1.0,1,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),61307.37972780615,80288.36111087333,136108.64719960254,0.5445576835139977,1.0,0
FKID004829,road_conditions,0.856996235266813,6,0,0,1,1,0.7719147464737057,72945.39918347482,21553.895611328808,6929193.924808556,4055272.1083304705,1.0,critical,1.0,1,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),72117.42217148763,117572.78160488002,152834.46296882667,0.3329688804415179,1.0,0
FKID005244,construction,0.8391523172484343,0,4,0,0,1,0.4,11805.331072149964,17707.99660822494,6929193.924808556,4055272.1083304705,0.96,critical,0.0,1,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),24285.113884527527,40278.12680520333,77456.8027075483,0.3825978948523327,1.0,0
FKID000923,pot_holes,0.9090888819295958,1,3,0,0,1,0.44082324941940787,61464.4862119337,77966.64926671066,6929193.924808556,4055272.1083304705,1.0,critical,0.0,1,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),147767.41764480778,154508.84233138,175025.65599472413,0.4016234313853387,1.0,0
FKID006340,others,0.8717446333529554,7,0,4,0,1,0.8998518904049065,1150300.9117829439,128021.58111679627,6929193.924808556,4055272.1083304705,0.92,critical,1.0,1,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),14223.349627739688,72765.11161879213,120728.3565937095,0.3631455926852346,0.8421052631578947,0
FKID006361,others,0.9168633816790003,4,0,0,0,1,0.5291143153005634,54846.69313884592,48810.856000965665,6929193.924808556,4055272.1083304705,0.98,critical,1.0,1,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),67205.93143413374,80288.36111087333,136108.64719960254,0.3466379990473955,1.0,0
FKID006514,tree_fall,0.9232487981118045,0,4,0,0,1,0.4,12341.237717751055,18511.856576626582,6929193.924808556,4055272.1083304705,0.98,critical,0.0,1,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),27033.175992365555,45260.933279293335,50578.39314217833,0.4135059181148774,1.0,0
FKID000316,pot_holes,0.928245599788247,6,0,0,1,1,0.7719147464737053,110429.48683922958,32629.688210474273,6929193.924808556,4055272.1083304705,1.0,critical,1.0,1,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),107759.3586845084,154508.84233138,175025.65599472413,0.3524201911652639,1.0,0
